Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20)
96.0,79.2,82.44,76.55,82.6,73.56,84.83,314.82803914616943,-33.75570398008348,-72.83460564405325,0.2737560688968905,-83.74311150743867,-23.3911194123562,-67.54680276307641,68.1819039805832,15.5586796204514,9.535933485278612,-36.620023839288685,-25.983775081503214,-39.54421630326887,15.973634423218453,74.39553798353295,92.8515320503434,-28.793175342177268,0.5980036818004812,-34.58120849371301,4.364493617323133
97.0,84.4,82.25,85.83,83.0,83.33,89.0,227.2067135608223,13.892448046778966,-38.91907755704999,-73.62829780327519,40.74503649985957,-71.05291021153808,6.206605819841725,10.903341990191151,-6.772571204622022,-106.64229579828334,-63.11813751488296,-75.82168774271531,-100.72675105019256,62.941034628365436,-3.7389030294159697,7.033251525827064,-87.96733858097235,-59.87545361289072,-43.67330220788741,-4.04434618070427
98.0,77.0,78.88,75.12,81.75,74.0,79.67,274.775312827212,-14.199191661033225,-25.57348447541857,-16.24489950823076,-51.41427549746629,-28.82042044386687,-62.01678057881024,55.16275674149604,-149.26571037659662,-34.00931663308662,-60.54627242065675,-13.631431935639764,-36.33775553916053,-1.4966920290320083,67.4994624181544,35.36535401274874,41.62959163469976,-35.86066672092761,-44.15630591321805,35.889476265981116
99.0,75.91,75.8,76.0,78.0,74.57,78.33,204.8189987498978,-11.16539449710341,-9.621673281303629,-50.58951843315203,-26.68607759866927,-109.98083784061318,-23.100281977558268,65.05702801755297,-7.6420748937958365,-3.230754415431477,9.002802106413897,-31.66444825069032,-76.5796383210573,69.38300243464042,4.673615627177087,3.448499515034359,-119.02929575301103,-56.02722057033836,-52.3461813219476,77.72268218560667
100.0,73.32,76.57,71.42,78.0,76.17,64.6,279.7341852326352,32.98197759187131,-4.154183042163131,-46.19784421938245,-42.190534886384796,-31.615076399935596,-9.62413037096099,-9.574684371734175,-39.73986458733259,-58.57986632844283,-96.88858602199784,-100.65206017345547,-61.83672384857114,32.32505236008048,37.84839767283075,48.486112422660625,-49.613408330702974,-34.337943103512536,-53.11248825289495,18.273376980588868
101.0,77.11,80.5,74.4,83.0,72.67,77.5,168.23138520288077,-21.30025055916287,-67.16745655943502,-34.98098300627235,-103.88625657732256,-37.97433384760909,-48.29884662534907,64.00662758497782,-123.73184026770005,-64.53713961599668,-8.390511037706645,14.28791300810664,-95.34231820425131,-27.325941000275023,55.268056218396275,48.510115925654745,-36.60468881159345,-45.06177357969893,12.530483943100183,-0.20751698587435996
102.0,77.5,80.8,74.75,85.5,74.69,78.4,295.216370584567,-4.61947041912352,-14.395575256732105,-55.57363647131147,-117.68831365121042,-68.96366386074814,-104.227730780511,7.291730437631024,-25.82296268165576,-9.695375176678326,-4.822057195565263,-33.4481428273223,-18.93530788970577,52.0320039588534,9.428541710136269,30.401628181791683,-31.948742792989467,-26.389287658933156,-82.94492046663876,23.628661893789012
103.0,75.86,83.0,73.0,88.0,80.0,61.5,152.40845293447273,-10.097404175729627,-31.202263994524838,-82.70765022009599,-27.999964135253464,-36.069398412035405,-39.60428006366326,-13.546796105329253,-31.11786015617639,-43.422633204474515,-83.07033134153593,-68.48122220998535,-53.83806698189528,26.04688608120209,171.40675789985062,28.249059131334,-19.30381454556459,-40.33606392221285,-27.497866622948855,19.47612124124405
104.0,78.95,81.8,76.58,87.67,78.25,76.43,323.7080584543815,-2.208908092046002,-36.42136870930722,17.65484256007625,-24.744028225410922,-82.613238803875,-87.61892907912969,48.05865654694407,-86.74816558340167,-83.04599977569563,-59.165580416340106,-16.697711718359166,-49.42566384345277,16.502748048091764,-1.2407502506737949,20.706708936727576,-48.680042007747545,-3.5398715488381214,-26.8373022438475,42.12783795035109
105.0,78.33,84.75,73.2,87.0,76.33,80.0,191.1057642771961,-29.428948960005773,-18.478664048701454,-41.381591865246975,-42.626107282626705,-74.16301585573446,-81.40206015724506,16.710462847614725,-32.80915129263826,10.499699372925987,2.15276181539107,-16.36726116321885,-101.13660696781677,10.077128104318344,96.81504659596611,-30.965315297741213,-59.133223645480314,-125.51391800063418,-81.91621309646101,25.016685018449905
