Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,,
119,63.12,110.4794006,22.14726769,21.21705459,19.78618283,21.09252827,2.582982391,20.79521921,0.120340908,49.12942404,8.735486078,71.55463821,70.84112715,27.42416604,19.67077842,25.43563986,7.341760812,11.76922566,71.57961308,19.26044819,19.1719385,0.720341387,
120,57.53,179.2723319,26.5941725,53.9766644,8.589467311,17.06919522,51.45553761,66.58930285,26.36454244,17.58959841,16.8249143,30.76543445,30.57870473,10.61274839,50.74160438,51.77984849,11.23435289,36.0847456,1.834665129,32.01031234,21.76666192,0.568210153,
121,55.12,101.1723386,32.40354746,19.31651146,31.96731284,7.129772663,6.03795517,10.64194271,59.10810005,28.89882522,35.75685716,38.73667233,22.44089945,12.93823431,59.15344096,11.62026971,26.27651916,50.11171931,19.1465965,5.84472471,25.92397793,0.600451468,
122,56,171.97039,17.72802952,62.0401604,14.90263598,11.52526383,13.35329081,12.84768906,13.15893185,2.979968823,17.51016162,83.62022964,37.54856652,47.3514315,7.238424466,26.46894224,42.0179432,41.62013221,24.5018248,12.35262177,49.9291316,0.553491037,
123,55.33,114.2490355,30.59176785,25.83109015,15.33601056,26.99294253,1.460146941,23.36438254,18.98514424,10.03467304,0.66782297,34.60249122,52.69582309,56.35701466,36.50325283,18.84940326,66.1058412,34.96471997,12.46622621,22.23572686,9.176629355,0.530857415,
124,50.85,167.4492696,78.91269532,41.94441746,35.24529436,29.15365759,29.95173093,2.524618681,4.556929021,9.329252645,14.30837684,7.98736701,0.496798156,48.98061089,0.00877332,36.01966293,6.512673013,39.56874042,36.18420926,60.02969218,17.36362611,0.80707941,
125,59,156.6476287,80.39524204,38.54234739,31.8718991,6.019378353,25.09733326,20.4918455,9.600807913,42.64119063,9.943845212,26.57886262,16.08030312,38.15571019,0.620594959,60.91981913,5.17843484,49.59613861,52.92015435,3.910576997,0.73156475,0.873427952,
126,48.31,142.1916401,70.17191441,38.19527454,12.18018016,15.67650728,8.756511867,8.36786592,17.88639533,25.71998848,45.19374967,20.29029886,62.213658,3.882027609,12.18265772,48.3173511,8.059524057,25.91401459,27.05758784,26.18201064,19.68363823,0.668851515,
127,49.83,131.7478695,52.24907137,5.155714086,11.23318712,44.69765147,29.28745074,7.495779962,20.41908328,5.476489255,18.99900063,47.33657714,45.52547643,63.30616036,37.70006947,19.96557314,1.724541152,26.35971468,18.43959464,30.99965558,6.028047362,0.61383097,
128,56.28,198.7122284,59.47718229,51.42298067,22.42575411,7.709203992,18.97095158,68.19876379,10.8283916,41.59073936,10.53955328,5.954958194,19.30370015,21.8086103,9.73814503,31.25079073,5.318982053,13.87941441,18.21162993,35.61611259,11.82783768,0.556633059,
129,51.7,118.6079344,3.059692617,26.53450148,6.365023863,29.65654932,17.47174799,5.91447863,13.74903024,54.35084985,12.70502075,9.867789956,35.73006405,1.901579765,0.179603672,13.25556855,5.147186144,0.811460082,50.0889611,77.49653813,5.276561879,1.23973745,
130,44.37,174.199331,89.68030089,14.01193336,33.60438826,38.53320736,5.706780044,1.444693975,11.21463504,15.6389273,12.30224321,2.86584659,32.53473106,10.08613578,11.58347668,30.39081199,20.62851721,42.33654108,11.7561855,49.21747832,11.02628128,0.663650394,
131,51.6,109.3744808,28.32341942,70.0244946,14.16499433,22.15027927,6.477322873,35.2548373,46.09517869,45.53819864,20.10198991,10.63806518,34.56866201,29.08423667,5.820580833,7.267242486,50.97224172,19.74612445,27.56033299,29.03004746,33.90741373,0.539825587,
