Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,
99,59.5,207.1162928,12.46896858,10.57687011,14.49980342,53.60017792,9.952359484,0.713144308,54.39240429,59.78003307,29.88087187,5.067431667,26.57098891,37.50195619,10.44931307,24.07999493,9.675324552,5.358642172,27.09754302,25.52830372,51.66465501,1.288472261
100,65.78,135.8141145,5.121420684,57.08406819,13.40262235,33.32916611,5.9736968,33.17116843,14.44828184,36.32675993,86.92387297,0.474572097,14.43108117,47.58538099,28.28665959,46.32645079,31.72701964,19.6564228,35.55130868,11.6633424,12.8472811,0.923807786
101,63.32,192.6591455,12.38788632,22.90820296,9.344939714,3.984283344,40.93108411,80.63307488,37.33821617,63.56316007,5.472840881,39.51023757,7.147423764,31.38891157,20.00093768,36.98237296,14.2898779,37.90390786,14.56454423,14.5636706,26.89450912,1.145666558
102,65.9,148.8331677,12.85981836,18.25900538,28.52677543,40.789532,67.62799207,15.01177466,16.36260542,11.13977039,81.14428909,23.58248625,7.069813953,47.6129031,74.97828811,2.269184313,0.66933624,8.690885011,25.90245091,7.730476029,9.463688696,1.096200047
103,63.25,241.0936982,11.6727415,6.218773007,44.85969442,5.72232497,40.65392748,58.43044911,12.37800483,36.22142489,18.96180908,19.67816421,4.289835201,10.83323576,14.61274754,38.73948554,39.43666478,32.64831093,27.40218232,29.71619869,16.30284316,1.39169726
104,80.29,123.2873202,72.15753659,20.58082614,27.15692237,24.56862256,1.858936854,54.90903979,51.28297026,5.898112037,40.03060162,73.5292546,0.328368841,17.4533354,29.77193681,7.519659071,43.68356519,52.16006305,28.67629554,31.46221612,51.7096112,0.757738296
105,65.25,302.9130864,68.36541049,20.11947875,12.66232978,3.640920688,12.43474333,4.353640271,1.599182194,4.356965319,9.661142365,4.154865698,7.760838067,16.48959278,0.147873881,5.025774172,2.150374041,6.927809098,2.738669511,3.640397537,4.115976472,2.652580771
106,72.5,133.0611256,42.89824141,8.85841433,1.55699609,13.80964323,10.24644016,5.776400588,16.07093775,6.554183318,26.67174309,22.31986998,8.044311986,11.46560641,35.30129938,21.41817184,31.0077525,71.66466086,20.99328073,87.1035966,75.70719218,1.021163399
107,66.39,310.1478341,68.3384271,27.32077565,14.74435162,4.870219846,6.123619,6.464136833,11.07300821,9.504258889,4.793070838,12.76625383,2.032130962,4.650914306,6.580218536,3.876656961,2.765264168,7.812746925,3.835723782,4.345741721,5.575969263,2.579643172
108,70.78,140.5606945,43.23122849,3.792896465,5.082171378,0.058165509,14.4757914,7.303451677,21.16141474,5.758825713,26.8071319,40.45378596,20.97996389,40.96280661,41.67936584,23.96072653,25.76840186,27.44416368,2.338189254,93.68851781,88.71273866,1.039005826
109,66.7,263.8452173,60.39941592,20.75999884,27.01670605,6.553623946,30.20250361,59.76140872,26.89486846,20.54751033,9.679753774,2.425269279,21.05564963,18.08644834,57.93542879,31.98987896,6.624138738,12.80170865,12.23918237,1.705856565,48.58244801,1.491379293
110,68.25,187.891486,2.483693744,7.361155362,17.60017072,1.370260176,6.925269826,60.66419087,16.07183725,5.826912437,10.93297087,21.88521163,40.82307025,36.05007351,7.093270283,91.40689929,39.60173833,30.03751071,26.12933458,65.85654648,5.735393347,1.243774145
111,67.67,296.7073329,54.467427,6.220659671,46.16638718,0.503653797,13.5508115,15.54928569,10.61220537,36.14738279,19.30343522,8.530234872,22.0894421,4.124447748,26.26698775,26.98782005,4.489213589,14.74066513,20.2156853,19.11777072,20.39296486,1.85823388
112,74.1,164.6887081,4.983397441,60.75308056,27.62281209,30.93321799,3.816430479,28.42382896,74.75256978,7.581296281,14.70392305,51.24293536,47.40078104,71.30997475,26.88650849,30.18146419,12.88702453,19.6535206,29.51936445,53.84984655,28.87459364,0.891066381
113,67.75,232.6208008,16.19104297,50.25466226,7.931715042,5.003024818,26.51990162,66.88572766,3.276743213,42.14240889,2.38457525,43.32166158,57.2563602,48.44895882,9.721157425,22.22524592,41.21411856,2.555858153,24.84836793,24.68312336,13.2993592,1.31876711
114,61.88,111.5449589,12.91313924,34.61348073,6.210754698,9.345510562,1.917463885,16.35070974,56.18680628,5.79884299,30.8135683,5.72709356,40.06998203,75.36219589,16.66601428,33.6164973,56.54905094,0.608225372,4.91738522,13.08125542,59.69700303,0.970511052
115,63.63,203.2794636,12.66952573,21.00853123,21.74900804,42.1249924,3.2433232,7.720289083,32.85535899,72.82080029,69.49132287,50.05017903,17.24479326,55.25239009,21.87494505,3.618513253,18.09704653,20.09257129,18.24588896,3.669114115,10.20364546,1.237788304
116,64.09,159.722263,8.266573185,11.11951176,69.03465752,37.85350616,39.26360694,40.94861241,36.70303699,19.76250392,69.52247639,37.14452286,29.9273578,0.271821404,8.935627291,39.70622124,12.10361436,50.29671244,32.79009357,31.94196394,7.751222729,0.909721502
